instancia,gama,delta,FunObj,NR,ND,dist,gap,status,tempo,NV,Q,nK,nE
R101_50.txt,0,15,9.5626,8,15,626.03,0.0,OPTIMAL,0.74,4743,200,15,20
R101_50.txt,1,15,9.5626,8,15,626.03,0.0,OPTIMAL,0.91,4743,200,15,20
R101_50.txt,2,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.36,4743,200,15,20
R101_50.txt,5,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.44,4743,200,15,20
