instancia,gama,delta,FunObj,NR,ND,dist,gap,status,tempo,NV,Q,nK,nE
R101.txt,0,15,9.5653,8,15,653.05,0.0001,OPTIMAL,7.22,4743,50,15,20
R101.txt,1,15,9.5662,8,15,661.61,0.0,OPTIMAL,12.5,4743,50,15,20
R101.txt,2,15,9.6687,8,16,687.2900000000001,0.0,OPTIMAL,824.23,4743,50,15,20
R101.txt,5,15,10.3753,9,13,753.0,0.0673,TIME_LIMIT,3600.03,4743,50,15,20
